FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-26;42,74
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-27;43,01
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-28;43,46
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-01;43,81
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-02;43,57
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-03;43,56
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-04;43,2
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-05;43,48
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-08;43,95
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-09;43,69
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-10;43,05
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-11;43,01
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-12;43,34
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-15;43,36
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-16;43,26
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-17;43,4
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-18;43,37
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-19;43,18
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-22;42,69
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-23;42,73
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-24;43,06
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-25;42,64
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-26;42,9
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-29;42,54
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-30;41,95
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-10-31;41,71
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-01;41,38
